proto_no,serial PRIMARY KEY,,
proto_name,TEXT,fk_identifier,
geometry,TEXT,,
resolution,TEXT,,
bp_name,TEXT,,
sen_name,TEXT,,
bp_position,TEXT,,
sen_position,TEXT,,
put_position,TEXT,,
region,TEXT,,
ass_tray_id,TEXT,,
sen_tray_id,TEXT,,
sen_put_id,TEXT,,
tape_batch,TEXT,,
tape_pattern,TEXT,,
glue_batch,TEXT,,
glue_pattern,TEXT,,
adhesive,TEXT,,
ass_run_date,DATE,,
ass_time_begin,TIME,,
ass_time_end,TIME,,
cure_date_end,DATE,,
cure_time_end,TIME,,
operator,TEXT,,
inspected,DATE,,
rel_hum,TEXT,,
temp_c,TEXT,,
module_no,INT,fk_mod_pm,module_info
pos_col,INT,,
pos_row,INT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
batch_no,INT,,
comment,TEXT,,
