proto_row_no,serial PRIMARY KEY,,
proto_no,INT,fk_pm_insp,proto_assembly
proto_name,TEXT,fk_identifier,
grade,TEXT,,
flatness,REAL,,
avg_thickness,REAL,,
max_thickness,REAL,,
x_offset_mu,REAL,,
y_offset_mu,REAL,,
ang_offset_deg,REAL,,
comment,TEXT,,
date_inspect,DATE,,
time_inspect,TIME,,
inspector,TEXT,,
hexplot,BYTEA,,
offsetplot,BYTEA,,
x_points,REAL[],,
y_points,REAL[],,
z_points,REAL[],,
weight_grams,REAL,,
iteration,INT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
batch_no,INT,,
